#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Jan 10 15:56:48 2024

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       counter_map.ncd
#OUTPUT FILE:      counter_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P50,sdram_cke,IOB,IO_L31N_GCLK30_D15_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
P51,sdram_clk,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,YES,NONE,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
P56,sdram_data<8>,IOB,IO_L30P_GCLK1_D13_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P57,sdram_data<9>,IOB,IO_L14N_D12_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P58,sdram_data<10>,IOB,IO_L14P_D11_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P59,sdram_data<11>,IOB,IO_L13N_D10_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,sdram_data<12>,IOB,IO_L12N_D2_MISO3_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P62,sdram_data<13>,IOB,IO_L12P_D1_MISO2_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P63,,,VCCO_2,,,2,,,,,2.50,,,,
P64,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
P65,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P66,sdram_data<14>,IOB,IO_L2N_CMPMOSI_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P67,sdram_data<15>,IOB,IO_L2P_CMPCLK_2,BIDIR,LVCMOS25*,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
P75,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
P76,,,VCCO_1,,,1,,,,,2.50,,,,
P77,,,GND,,,,,,,,,,,,
P78,,IOBS,IO_L47N_1,UNUSED,,1,,,,,,,,,
P79,,IOBM,IO_L47P_1,UNUSED,,1,,,,,,,,,
P80,,IOBS,IO_L46N_1,UNUSED,,1,,,,,,,,,
P81,,IOBM,IO_L46P_1,UNUSED,,1,,,,,,,,,
P82,sel<6>,IOB,IO_L45N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,YES,NONE,
P83,sel<7>,IOB,IO_L45P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,YES,NONE,
P84,sel<4>,IOB,IO_L43N_GCLK4_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,YES,NONE,
P85,sel<5>,IOB,IO_L43P_GCLK5_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,YES,NONE,
P86,,,VCCO_1,,,1,,,,,2.50,,,,
P87,data<6>,IOB,IO_L42N_GCLK6_TRDY1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P88,data<7>,IOB,IO_L42P_GCLK7_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,YES,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,data<4>,IOB,IO_L41N_GCLK8_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P93,data<5>,IOB,IO_L41P_GCLK9_IRDY1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P94,data<2>,IOB,IO_L40N_GCLK10_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P95,data<3>,IOB,IO_L40P_GCLK11_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P96,,,GND,,,,,,,,,,,,
P97,data<0>,IOB,IO_L34N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P98,data<1>,IOB,IO_L34P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P99,sel<2>,IOB,IO_L33N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P100,sel<3>,IOB,IO_L33P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P101,sel<0>,IOB,IO_L32N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P102,sel<1>,IOB,IO_L32P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,2.50,,,,
P104,,IOBS,IO_L1N_VREF_1,UNUSED,,1,,,,,,,,,
P105,,IOBM,IO_L1P_1,UNUSED,,1,,,,,,,,,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
P112,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
P113,,,GND,,,,,,,,,,,,
P114,sdram_data<0>,IOB,IO_L65N_SCP2_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P115,sdram_data<1>,IOB,IO_L65P_SCP3_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P116,sdram_data<3>,IOB,IO_L64N_SCP4_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P117,sdram_data<2>,IOB,IO_L64P_SCP5_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P118,sdram_data<5>,IOB,IO_L63N_SCP6_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P119,sdram_data<4>,IOB,IO_L63P_SCP7_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P120,sdram_data<7>,IOB,IO_L62N_VREF_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P121,sdram_data<6>,IOB,IO_L62P_0,BIDIR,LVCMOS25*,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,2.50,,,,
P123,sdram_we_n,IOB,IO_L37N_GCLK12_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P124,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
P125,,,VCCO_0,,,0,,,,,2.50,,,,
P126,sdram_ras_n,IOB,IO_L36N_GCLK14_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P127,sdram_cas_n,IOB,IO_L36P_GCLK15_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,sdram_ba<0>,IOB,IO_L35N_GCLK16_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P132,sdram_cs_n,IOB,IO_L35P_GCLK17_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,YES,NONE,
P133,sdram_addr<10>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P134,sdram_ba<1>,IOB,IO_L34P_GCLK19_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,2.50,,,,
P136,,,GND,,,,,,,,,,,,
P137,sdram_addr<1>,IOB,IO_L4N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P138,sdram_addr<0>,IOB,IO_L4P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P139,sdram_addr<3>,IOB,IO_L3N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P140,sdram_addr<2>,IOB,IO_L3P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,LOCATED,NO,NONE,
P141,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
P142,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
P143,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
P144,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
